Product Name,link,ean_value,Price,loja,brand,ListPrice,Departament,Category,SubCategory
Mistura para Pao e Pizza Dr. Oetker,,7891048063118,14.49,Condor,OETKER,,SAUDAVEIS,SEM GLUTEN,MISTURA P/BOLO
Mendo Wafer Barion,,7896018201903,17.89,Condor,BARION,,SECA LEVE,BOMBONIERE,CHOC.WAFFER
PA P/LIXO CONDOR CABO CURTO,,7891055150726,15.19,Condor,CONDOR SA,,CASA & UTILIDADES,LAVANDERIA PA P/LIXO,LAV-PA P/LIXO CABO CURTO
Faca Tramontina,,7891112003026,27.49,Condor,TRAMONTINA,,CASA & UTILIDADES,UTENSILIOS P/COZINHA,UTC-FACAS DE CORTE
Copo Nadir,,7891155002529,4.39,Condor,NADIR,,CASA & UTILIDADES,COPOS E JOGO DE COPOS,C.JG-COPOS DE VIDRO ALTO
Papel Crepom Interstate,,7896420900081,2.19,Condor,INTERSTATE,,PAPELARIA/VIAGEM/LIVROS,PAPELARIA,PAPEL ESPECIAL ESCOLAR
EXTRATO TOMATE ELEFANTE 300G SACHE,,7896036099803,6.45,Condor,ELEFANTE,,SECA SALGADA,ATOMATADOS,EXTRATO DE TOMATE SACHE
Azeitona Verde Zaeli,,7896183910471,12.29,Condor,ZAELI,,SECA SALGADA,CONSERVAS/VEGETAIS,AZEITONA VERDE
ESPUM.CAMPO LARGO MOSCATEL 750ML,,7896931615528,23.89,Condor,BEB. CAMPO LARGO,,BEBIDAS QUENTES,VINHOS,ESPUMANTE MOSCATEL
ESMALTE COLORAMA UNIV.PTO INTERGALACTICO,,7908615025582,9.87,Condor,COLORAMA,,PERFUMARIA/HIGIENE E BELEZA,TOUCADOR,ESMALTE
Desodorante Aerossol Rexona,,7891150064300,20.19,Condor,REXONA,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE CORPORAL,DESOD.FEM.AEROSOL PREMIUM
SHAMPOO PANTENE QUERATINA 300ML,,7500435232814,25.55,Condor,PANTENE,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,SHAMPOO TOP
Espumante Terranova Vintage,,7896756805272,30.99,Condor,VINTAGE,,BEBIDAS QUENTES,VINHOS,ESPUMANTE BRUT
Alface Lisa Delicia,,7898190400563,14.55,Condor,Sem marca,,FRUTAS & HORTALICAS,FOLHAGENS,ALFACE LISA
FOOD SERVICE APRESUNTADO KG,,50876,13.49,Condor,CONDOR,,FIAMBRERIA,ENTREPOSTO - FIAMBRERIA,APRESUNTADO
Lentilha Caldo Bom,,7896273907244,6.78,Condor,CALDO BOM,,"FRIOS,MASSAS E GORDUROSOS",VEGETAIS/CARNES COZ.EMB.VACUO,GRAO SALGADO
BIFE BOVINO DE COXAO MOLE RESERVA ENTREP,,26680,39.98,Condor,ENTREPOSTO,,ACOUGUE,ENTREPOSTO TRASEIRO BOVINO,BOVINO S/OSSO TRADICIONAL
